ï»¿ID,Start time,Completion time,Location,Ward/Branch,Stake,Route,Time Spent Collecting Donations,# of Adult Volunteers,# of Youth Volunteers,Doors in Route,Donation Bags Collected,Completed More Than One Route,Routes Completed,Additional Routes completed (2 routes),Additional routes completed (3 routes),Additional routes completed (3 routes)2,Additional routes completed (More than 3 Routes),Additional routes completed (More than 3 Routes)2,Additional routes completed (More than 3 Routes)3,Neighbourhood,Ward,Assessed Value,Minutes Spent Collecting Donations,Assessed Value,Latitude,Longitude,New Route Number/Name
25,2024-09-28 10:01,2024-09-28 10:05,Londonberry Chapel,Clareview Ward,Bonnie Doon Stake,Unassigned,0 - 30 Minutes,1,0,1,1,0,1,,,,,,,CLAREVIEW,,837500,30,837500,53.55056740256591,-113.4548124,Bonnie Doon Stake 1
26,2024-09-28 10:31,2024-09-28 10:34,Gateway Stake Centre ,Lee Ridge Ward,Gateway Stake,50,0 - 30 Minutes,2,2,20,20,0,1,,,,,,,LEE RIDGE,Karhiio Ward,28618500,30,28618500,53.47232073,-113.4502878,Gateway Stake 2
27,2024-09-28 10:33,2024-09-28 10:36,Bonnie Doon Stake Centre,Forest Heights Ward,Bonnie Doon Stake,98,0 - 30 Minutes,2,2,20,15,0,1,,,,,,,FOREST HEIGHTS,MÃ©tis Ward,837500,30,837500,53.55056740256592,-113.4548124,Bonnie Doon Stake 2
28,2024-09-28 10:41,2024-09-28 10:43,Bearspaw Chapel,Lee Ridge Ward,Gateway Stake,6,30 - 60 Minutes,2,3,144,25,1,2,2,,,,,,LEE RIDGE,Karhiio Ward,28618500,60,28618500,53.47232073,-113.4502878,Gateway Stake 3
29,2024-09-28 10:36,2024-09-28 10:45,Gateway Stake Centre ,Silver Berry Ward,Gateway Stake,19,30 - 60 Minutes,1,0,230,21,0,1,,,,,,,SILVER BERRY,Sspomitapi Ward,162000,60,162000,53.45921603129749,-113.3818037,Gateway Stake 4
30,2024-09-28 10:44,2024-09-28 10:46,Bonnie Doon Stake Centre,Forest Heights Ward,Bonnie Doon Stake,7,0 - 30 Minutes,2,0,75,7,0,1,,,,,,,FOREST HEIGHTS,MÃ©tis Ward,837500,30,837500,53.55056740256592,-113.4548124,Bonnie Doon Stake 3
31,2024-09-28 10:34,2024-09-28 10:48,Gateway Stake Centre ,Crawford Plains Ward,Gateway Stake,Meyokumin 25 ,30 - 60 Minutes,2,0,280,32,1,2,26,,,,,,CRAWFORD PLAINS,Sspomitapi Ward,140000,60,140000,53.44341912235957,-113.4026104,Gateway Stake 5
32,2024-09-28 10:02,2024-09-28 10:49,Londonberry Chapel,Londonderry Ward,Bonnie Doon Stake,32,30 - 60 Minutes,2,3,21,23,0,1,,,,,,,LONDONDERRY,,837500,60,837500,53.55056740256591,-113.4548124,Bonnie Doon Stake 4
33,2024-09-28 10:46,2024-09-28 10:49,Riverbend Stake Centre,Woodbend Ward,Riverbend Stake,Route 1,1 Hour - 1.5 Hours,3,3,45,15,0,1,,,,,,,WOODBEND,,703525,90,703525,53.44964276918846,-113.5384964,Riverbend Stake 2
34,2024-09-28 10:48,2024-09-28 10:56,Riverbend Stake Centre,Woodbend Ward,Riverbend Stake,2,30 - 60 Minutes,2,4,172,18,0,1,,,,,,,WOODBEND,,703525,60,703525,53.44964276918846,-113.5384964,Riverbend Stake 3
35,2024-09-28 10:45,2024-09-28 10:57,Bearspaw Chapel,Blackmud Creek Ward,Gateway Stake,1,0 - 30 Minutes,2,0,135,26,0,1,,,,,,,BLACKMUD CREEK,Ipiihkoohkanipiaohtsi Ward,503500,30,503500,53.42374423,-113.5051636,Gateway Stake 6
36,2024-09-28 10:55,2024-09-28 10:57,Bonnie Doon Stake Centre,Connors Hill Ward,Bonnie Doon Stake,Strathearn North,30 - 60 Minutes,2,4,0,30,0,1,,,,,,,CONNORS HILL,,837500,60,837500,53.55056740256591,-113.4548124,Bonnie Doon Stake 5
37,2024-09-28 10:05,2024-09-28 10:57,Londonberry Chapel,Londonderry Ward,Bonnie Doon Stake,64,0 - 30 Minutes,2,0,18,18,0,1,,,,,,,LONDONDERRY,,837500,30,837500,53.55056740256591,-113.4548124,Bonnie Doon Stake 6
38,2024-09-28 10:49,2024-09-28 10:57,Londonberry Chapel,Londonderry Ward,Bonnie Doon Stake,21,0 - 30 Minutes,2,1,10,12,0,1,,,,,,,LONDONDERRY,,837500,30,837500,53.55056740256591,-113.4548124,Bonnie Doon Stake 7
39,2024-09-28 10:53,2024-09-28 10:58,Bearspaw Chapel,Blackmud Creek Ward,Gateway Stake,10,30 - 60 Minutes,2,3,3,36,0,1,,,,,,,BLACKMUD CREEK,Ipiihkoohkanipiaohtsi Ward,503500,60,503500,53.42374423,-113.5051636,Gateway Stake 7
40,2024-09-28 10:45,2024-09-28 10:58,Gateway Stake Centre ,Silver Berry Ward,Gateway Stake,28/konietz,30 - 60 Minutes,3,4,117,30,0,1,,,,,,,SILVER BERRY,Sspomitapi Ward,162000,60,162000,53.45921603129749,-113.3818037,Gateway Stake 8
41,2024-09-28 10:58,2024-09-28 11:00,Bonnie Doon Stake Centre,Forest Heights Ward,Bonnie Doon Stake,58,0 - 30 Minutes,2,1,125,7,0,1,,,,,,,FOREST HEIGHTS,MÃ©tis Ward,837500,30,837500,53.55056740256592,-113.4548124,Bonnie Doon Stake 8
42,2024-09-28 10:51,2024-09-28 11:00,Bearspaw Chapel,Blackmud Creek Ward,Gateway Stake,6,30 - 60 Minutes,2,1,12,20,0,1,,,,,,,BLACKMUD CREEK,Ipiihkoohkanipiaohtsi Ward,503500,60,503500,53.42374423,-113.5051636,Gateway Stake 9
43,2024-09-28 10:59,2024-09-28 11:03,Gateway Stake Centre ,Silver Berry Ward,Gateway Stake,18,0 - 30 Minutes,2,0,236,16,0,1,,,,,,,SILVER BERRY,Sspomitapi Ward,162000,30,162000,53.45921603129749,-113.3818037,Gateway Stake 10
44,2024-09-28 10:49,2024-09-28 11:04,Riverbend Stake Centre,Woodbend Ward,Riverbend Stake,6,30 - 60 Minutes,3,2,50,8,0,1,,,,,,,WOODBEND,,703525,60,703525,53.44964276918846,-113.5384964,Riverbend Stake 4
45,2024-09-28 11:02,2024-09-28 11:04,Edmonton North Stake Centre,Griesbach Ward,Edmonton North Stake,Caernarvon A,30 - 60 Minutes,2,3,215,38,0,1,,,,,,,GRIESBACH,Anirniq Ward,6666500,60,6666500,53.61346820073056,-113.5157507,Edmonton North Stake 1
46,2024-09-28 10:56,2024-09-28 11:04,Gateway Stake Centre ,Crawford Plains Ward,Gateway Stake,30,1 Hour - 1.5 Hours,3,0,340,30,1,3,,31,29,,,,CRAWFORD PLAINS,Sspomitapi Ward,140000,90,140000,53.44341912235957,-113.4026104,Gateway Stake 11
47,2024-09-28 11:00,2024-09-28 11:05,Bonnie Doon Stake Centre,Mill Creek YSA Ward,YSA Stake,Ritchie 4,30 - 60 Minutes,3,0,66,15,0,1,,,,,,,MILL CREEK YSA,,837500,60,837500,53.550567402565896,-113.4548124,YSA Stake 1
48,2024-09-28 11:04,2024-09-28 11:05,Bonnie Doon Stake Centre,Whitemud Creek YSA Ward,YSA Stake,Mill Creek 2,30 - 60 Minutes,1,0,208,12,0,1,,,,,,,WHITEMUD CREEK YSA,,837500,60,837500,53.550567402565896,-113.4548124,YSA Stake 2
49,2024-09-28 11:00,2024-09-28 11:05,Bearspaw Chapel,Rutherford Ward,Riverbend Stake,7,30 - 60 Minutes,2,0,174,23,0,1,,,,,,,RUTHERFORD,Ipiihkoohkanipiaohtsi Ward,1154500,60,1154500,53.42045712828527,-113.5399461,Riverbend Stake 5
50,2024-09-28 11:04,2024-09-28 11:05,Bonnie Doon Stake Centre,Forest Heights Ward,Bonnie Doon Stake,Fulton Place #1B,0 - 30 Minutes,2,0,100,12,0,1,,,,,,,FOREST HEIGHTS,MÃ©tis Ward,837500,30,837500,53.55056740256592,-113.4548124,Bonnie Doon Stake 9
51,2024-09-28 11:04,2024-09-28 11:05,Bonnie Doon Stake Centre,Whitemud Creek YSA Ward,YSA Stake,Mill Creek 2,30 - 60 Minutes,1,0,208,12,0,1,,,,,,,WHITEMUD CREEK YSA,,837500,60,837500,53.550567402565896,-113.4548124,YSA Stake 3
52,2024-09-28 11:04,2024-09-28 11:06,Bonnie Doon Stake Centre,Forest Heights Ward,Bonnie Doon Stake,Sloan,0 - 30 Minutes,2,2,167,20,0,1,,,,,,,FOREST HEIGHTS,MÃ©tis Ward,837500,30,837500,53.55056740256592,-113.4548124,Bonnie Doon Stake 10
53,2024-09-28 10:57,2024-09-28 11:06,Riverbend Stake Centre,Rabbit Hill Ward,Riverbend Stake,37,0 - 30 Minutes,2,0,100,10,0,1,,,,,,,RABBIT HILL,,703525,30,703525,53.44964276918846,-113.5384964,Riverbend Stake 6
54,2024-09-28 10:53,2024-09-28 11:06,Riverbend Stake Centre,Woodbend Ward,Riverbend Stake,13,0 - 30 Minutes,1,2,100,6,0,1,,,,,,,WOODBEND,,703525,30,703525,53.44964276918846,-113.5384964,Riverbend Stake 7
